1      2  3     4     5      6     7     8     9    10     11   12    13      14
2018   1  0   -2.9   23.2  -1.1   3.0  -4.7   8.2  381.  -5.8   1.1  13.7   94347.
2018   1  1   -2.9   23.2  -5.9  -5.2  -6.7  10.8  406.  -4.6   1.9  16.8   86954.
2018   1  2   -2.9   23.3  -1.1  -8.9  -1.0  10.0  393.  -5.1   3.5  17.4   77863.
2018   1  3   -2.9   23.3  -2.1  -9.1  -2.8  10.9  397.  -6.0   4.0  22.6   65130.
2018   1  4   -2.9   23.3   1.3   1.9   2.4  11.0  417.  -5.5  -3.8  19.2  150021.
2018   1  5   -2.9   23.4  -4.3  -2.0  -2.4   8.3  444.  -2.5  -4.9   9.8  233495.
2018   1  6   -2.9   23.4   3.3  -2.9   0.7   6.1  429.  -2.6  -6.9   9.3  219294.
2018   1  7   -2.9   23.5   3.3  -5.2  -0.6   6.8  436.  -2.7  -6.1   9.0  217254.
2018   1  8   -2.9   23.5   3.1  -6.4   0.9   7.8  445.  -2.1  -5.1   7.7  195279.
2018   1  9   -2.9   23.6   4.2  -5.3   0.8   7.7  434.  -3.1  -6.3   7.8  165180.
2018   1 10   -2.9   23.6   5.7  -3.5   0.2   7.0  429.  -3.2  -7.1   7.2  163897.
2018   1 11   -2.9   23.6   3.7  -4.5  -0.8   6.2  428.  -1.4  -6.2   6.1  169387.
2018   1 12   -2.9   23.7   3.9  -5.3  -1.1   6.8  439.  -1.9  -6.9   5.8  119179.
2018   1 13   -2.9   23.7   3.9  -4.8  -1.7   6.6  440.  -2.2  -8.2   5.6   98373.
2018   1 14   -2.9   23.8   5.5  -2.8   0.2   6.3  458.  -0.3  -6.9   4.3   90245.
2018   1 15   -2.9   23.8   5.4  -1.0   0.5   5.5  469.   0.7  -4.5   3.9   82724.
2018   1 16   -2.9   23.9   4.9  -0.0   0.5   4.9  470.  -0.2  -4.6   3.6  122899.
2018   1 17   -3.0   23.9   4.7   0.5  -0.3   4.8  470.   0.6  -3.7   3.8  136431.
2018   1 18   -3.0   23.9   4.3  -0.8  -0.1   4.8  463.   0.0  -2.8   3.8  132419.
2018   1 19   -3.0   24.0   3.1  -3.1  -0.5   4.9  459.   0.2  -4.0   3.6  104428.
2018   1 20   -3.0   24.0  -0.3  -4.6  -0.2   4.8  454.   0.6  -3.6   3.6   66345.
2018   1 21   -3.0   24.1  -1.9  -3.7  -2.3   5.2  447.   0.9  -4.0   3.7   71848.
2018   1 22   -3.0   24.1  -2.6  -3.6  -1.1   5.1  434.   1.1  -3.1   4.0   76257.
2018   1 23   -3.0   24.2  -1.1  -2.1  -1.3   4.7  429.   1.2  -3.0   4.5   99042.
2018   2  0   -2.9   23.2  -1.1   3.0  -4.7   8.2  381.  -5.8   1.1  13.7   94347.
2018   2  1   -2.9   23.2  -5.9  -5.2  -6.7  10.8  406.  -4.6   1.9  16.8   86954.
2018   2  2   -2.9   23.3  -1.1  -8.9  -1.0  10.0  393.  -5.1   3.5  17.4   77863.
2018   2  3   -2.9   23.3  -2.1  -9.1  -2.8  10.9  397.  -6.0   4.0  22.6   65130.
2018   2  4   -2.9   23.3   1.3   1.9   2.4  11.0  417.  -5.5  -3.8  19.2  150021.
2018   2  5   -3.0   24.4   1.0  -0.2  -0.8   2.0  414.  -0.3   0.1   6.2   90341.
2018   2  6   -3.0   24.4   2.3   0.6  -1.3   3.1  414.   0.1   0.4   5.3   83068.
2018   2  7   -3.0   24.5  -1.5  -2.4   1.2   3.1  413.  -0.3   0.7   5.1   52406.
2018   2  8   -3.0   24.5   0.1  -3.1   1.2   3.4  409.   0.3   0.3   5.7   50355.
2018   2  9   -3.0   24.6   2.8   0.5   0.6   3.9  407.   0.1   0.4   6.3   77334.
2018   2 10   -3.0   24.6   3.3   1.6   0.3   4.0  415.   0.2   0.4   6.2   79335.
2018   2 11   -3.0   24.7   3.9   0.4   0.8   4.2  428.   0.4  -0.6   6.5  108323.
2018   2 12   -3.0   24.7   5.0  -0.7   1.8   5.4  433.   0.6  -2.0   6.4  111981.
2018   2 13   -3.0   24.7   1.4  -2.6  -0.7   4.4  418.  -0.0  -1.7   7.2  104317.
2018   2 14   -3.1   24.8   0.7  -2.1  -0.3   4.6  413.   0.5  -1.4   7.4  102988.
2018   2 15   -3.1   24.8   2.7  -2.1  -0.9   4.0  413.   0.8  -0.5   7.2  106295.
2018   2 16   -3.1   24.9   1.9  -3.4   0.1   4.1  414.   0.8  -0.3   7.8   99208.
2018   2 17   -3.1   24.9   1.2  -3.6  -0.2   4.5  410.   0.1  -1.0   7.5   73354.
2018   2 18   -3.1   25.0  -4.2  -1.7  -0.9   4.8  419.   0.0  -1.2   6.0   53599.
2018   2 19   -3.1   25.0  -3.7  -2.2  -1.6   4.6  413.  -0.3  -1.2   7.4   60880.
2018   2 20   -3.1   25.0  -2.8  -1.8  -1.6   3.8  412.  -0.1  -1.1   7.4   57834.
2018   2 21   -3.1   25.1  -2.6  -1.8  -0.9   3.4  408.  -0.1  -0.8   8.4   50833.
2018   2 22   -3.1   25.1  -0.8  -2.8   1.2   3.5  399.  -0.6   0.0   7.6   37697.
2018   2 23   -3.1   25.2  -1.7  -1.9   0.8   2.8  399.  -0.5  -0.1   8.0   42152.
2018   3  0   -3.1   25.2   1.2  -2.9   0.2   3.6  391.  -0.0   0.1   8.2   50456.
2018   3  1   -3.1   25.2   0.1  -3.0   1.2   3.9  393.  -0.6   0.1   8.8   48916.
2018   3  2   -3.1   25.3  -1.8  -3.3   0.2   4.0  388.  -0.3  -0.3  10.7   40336.
2018   3  3   -3.1   25.3  -1.0  -2.5  -0.2   3.0  379.   0.1  -0.4  12.9   37458.
2018   3  4   -3.1   25.4  -1.2  -3.0  -0.2   3.4  377.   1.0  -0.5  13.2   30563.
2018   3  5   -3.1   25.4   0.8  -2.9   0.2   3.2  370.   0.9   0.0  12.7   30141.
2018   3  6   -3.1   25.5   0.7  -2.7   0.3   2.9  363.   1.0  -0.5  13.4   27014.
2018   3  7   -3.1   25.5   0.7  -2.9   0.5   3.2  360.   0.9  -0.1  11.8   25296.
2018   3  8   -3.1   25.5   0.3  -3.2  -1.2   4.0  364.   2.0  -0.1   8.8   32384.
2018   3  9   -3.1   25.6   3.1  -3.5   1.7   5.2  364.   2.4   0.2   6.8   34651.
2018   3 10   -3.1   25.6   3.0  -2.6   1.9   4.5  362.   1.8  -0.8   7.8   47900.
2018   3 11   -3.2   25.7   4.4  -2.0   2.5   5.5  362.  -0.1  -0.3   9.1   42147.
2018   3 12   -3.2   25.7   3.7   0.3   1.8   4.4  365.  -0.6   0.0  10.5   53472.
2018   3 13   -3.2   25.8   2.3  -2.2  -1.1   3.9  368.  -0.9   0.7  10.6   59602.
2018   3 14   -3.2   25.8   2.1  -1.8  -0.3   3.3  364.  -0.9   1.0  12.6   44224.
2018   3 15   -3.2   25.8   2.4  -2.1   1.5   4.0  367.   0.3   1.5  12.1   41647.
2018   3 16   -3.2   25.9   2.2  -1.1   2.2   3.8  360.   0.3   2.0  12.2   36878.
2018   3 17   -3.2   25.9   0.2  -2.1  -0.5   4.1  363.  -0.4   1.6  10.4   42130.
2018   3 18   -3.2   26.0   3.3   0.3   2.2   4.1  356.  -0.3   1.7   7.8   51742.
2018   3 19   -3.2   26.0   3.1   1.2   2.7   4.4  352.   0.0   0.7   6.7   54238.
2018   3 20   -3.2   26.1   3.0   2.0   2.0   4.3  359.   1.7   0.5   5.7   54196.
2018   3 21   -3.2   26.1   4.0   0.4   1.7   4.5  361.   2.0  -0.1   5.8   66409.
2018   3 22   -3.2   26.1   3.7   1.2   0.9   4.2  365.   2.1   0.1   5.5   62859.
2018   3 23   -3.2   26.2   4.0  -0.1  -0.4   4.3  367.   1.7  -0.1   5.6   55563.
